ROI	Subj1	Subj2	GroupStr	VideoType	Y	Yz
Default	BSCMR011	BSCMR100	A_A	horror	-0.05420448649245053	-0.054257666817744486
Default	BSCMR011	BSCMR100	A_A	neutral	-0.19359071333629574	-0.196065017793308
Default	BSCMR011	BSCMR101	A_A	erotic	0.5736279213061087	0.6529133106412027
Default	BSCMR011	BSCMR101	A_A	horror	0.11163584965084591	0.11210310484458486
Default	BSCMR011	BSCMR101	A_A	neutral	-0.17394224335759634	-0.17572905417345175
Default	BSCMR011	BSCMR102	A_A	erotic	0.01953306244873408	0.01953554723591122
Default	BSCMR011	BSCMR102	A_A	horror	0.08078162093330414	0.08095803023784541
Default	BSCMR011	BSCMR102	A_A	neutral	-0.2842803491477619	-0.2923326298393118
Default	BSCMR011	BSCMR104	A_A	erotic	-0.23253447076054973	-0.23686715413939574
Default	BSCMR011	BSCMR104	A_A	horror	0.01955300864086898	0.019555501049011378
Default	BSCMR011	BSCMR104	A_A	neutral	-0.23167508070850898	-0.2359588302232635
Default	BSCMR011	BSCMR105	A_A	erotic	0.18629725920973078	0.1884985361466238
Default	BSCMR011	BSCMR105	A_A	horror	0.2394628798645081	0.2442042413391182
Default	BSCMR011	BSCMR105	A_A	neutral	-0.1948027845920697	-0.19732459071679828
Default	BSCMR011	BSCMR107	A_A	erotic	0.23675302911122215	0.24133151822499316
Default	BSCMR011	BSCMR107	A_A	horror	-0.08697511453637771	-0.08719542805956598
Default	BSCMR011	BSCMR107	A_A	neutral	0.4427556175655045	0.475653147945472
Default	BSCMR011	BSCMR109	A_A	erotic	0.2087503493676785	0.21186440194015482
Default	BSCMR011	BSCMR109	A_A	horror	0.050365418569721536	0.05040807041078327
Default	BSCMR011	BSCMR109	A_A	neutral	0.07340854435602004	0.07354083402410824
Default	BSCMR011	BSCMR110	A_A	erotic	0.04028300757470098	0.040304818170886006
Default	BSCMR011	BSCMR110	A_A	horror	0.39167944660888554	0.4137822813815407
Default	BSCMR011	BSCMR110	A_A	neutral	-0.09755309828308707	-0.0978643355445152
Default	BSCMR011	BSCMR111	A_A	erotic	0.3238945145514127	0.33599197705079603
